,pop,lon,lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Elevation,SRAD,SOC,PHH2O
11,FZ,119.3694454,26.09964592,19.2925003,7.018333339,27.82873726,664.9248657,32.12000122,6.899999905,25.22000084,21.62999992,13.22999973,27.19000015,11.14999943,1416.4,262.6,36,59.26291961,610.6,117.8,545.6,163.8,222.8,14671.45019,38.20000076,5.699999809
12,HD,120.0759589,36.05083152,12.67500019,8.066666603,24.29718971,951.5668945,28.10000038,-5.099999905,33.20000076,23.70000076,0.450000018,23.70000076,0.450000018,699,168,10,90.51520538,405,33,405,33,57,15971.25,14.39999962,6.800000191
13,HS,118.3204385,29.99713005,15.76770854,7.714583278,24.94369126,854.0058594,30.92499972,-2.50E-10,30.92499972,19.85416651,6.941666722,25.9291668,4.954166532,1565,271,39.75,54.11276436,679.25,150.75,555,185.5,226.25,14783.56274,32.62499952,5.699999929
14,HY,114.7974674,24.20664386,21.07416763,8.751666641,33.81633454,619.140686,32.90000153,7.019999981,25.88000145,24.39333343,18.19666672,27.99666672,12.95,1773.4,321.2,33,64.72911682,828.6,130.2,663,189.8,143,14169.3834,22.77999992,5.860000133
15,HZY,117.0380525,34.04109854,14.36250043,9.962500334,28.22238064,981.8652955,30.82499934,-4.475000024,35.29999924,26.06249952,1.708333373,26.06249952,1.708333373,698.5,186.25,16,90.77844047,408.25,53.75,408.25,53.75,167.25,15865.41675,25.1500001,7.149999977
16,JM,120.8833586,36.50902009,12.3317709,7.505208314,22.94949174,948.0837021,27.67499972,-5.024999857,32.69999886,23.30833364,0.218750035,23.39375019,0.218750035,715.125,178.75,10,95.8336277,425.125,32,423.75,32,80,15914.05176,16.56249976,6.699999809
17,LMZ,109.1376409,24.35065154,19.47333298,7.366666794,28.9343319,680.0023438,31.34000015,5.879999923,25.45999985,25.82666664,12.42333336,27.10333328,10.57666664,1607.2,287.4,38.8,66.43982239,773.8,137.8,684.6,186.4,306.2,14208.23359,43.13999862,5.400000095
18,LS,119.9186919,28.4190838,17.54635453,8.661458134,28.0079031,796.2979889,33.0250001,2.099999935,30.92499995,21.23749948,9.379166722,27.03125,7.462499916,1464.75,242,38,49.56037617,599.75,157.75,509.375,179.125,171.125,14321.073,33.924999,5.787500084
19,LYG,119.2815146,34.64457047,12.54285744,8.364285605,25.54506765,934.9021345,27.94285693,-4.800000054,32.74285725,23.6357144,0.649999993,23.6357144,0.649999993,882.1428571,234,12.71428571,96.27565657,529.4285714,47.14285714,529.4285714,47.14285714,280.4285714,15826.369,29.82857214,6.471428599
20,LYS,118.2824322,32.2819661,15.10000027,8.347916484,25.61698699,915.6262284,30.67499972,-1.912499949,32.58749914,26.05625057,3.470833391,26.05625057,3.470833391,987.875,206.125,28,62.69000721,466.625,100.125,466.625,100.125,122.375,15222.56238,25.06249976,6.537499964
21,NAD,116.9598198,23.4225767,20.69583321,5.474999905,27.79187965,543.6762695,29.89999962,10.19999981,19.70000076,26.64999962,15.80000019,26.75,13.78333378,1463,252,29,67.17338562,677,92,566,120,72,15615.91699,45.20000076,5.400000095
22,NB,122.0608915,29.8578994,16.51249957,6.410416663,23.19436932,789.5952835,30.26249957,2.625,27.63749957,24.28125048,9.377083183,26.07291699,6.816666722,1269.125,172.125,47.375,39.71669054,421.5,170.125,421.5,177.125,51.25,14558.323,43.18750048,5.912500083
23,NX,114.4709892,25.22796093,19.91354156,8.806249857,30.79085898,716.0162811,33.63749981,5.037499964,28.59999966,23.72708321,12.33124972,28.16458321,10.64999986,1549.875,260.375,37.75,57.89643908,700.875,140.875,516,192.875,163.125,14396.54163,20.41249991,6.512499988
24,PA,120.5089054,29.14556878,15.34114575,7.780208171,25.61381483,812.9895401,30.34999991,-0.025,30.37500024,18.92500043,7.183333337,25.05208373,5.104166567,1464,225.375,39.25,47.63247538,553.75,153.375,530.875,170.25,366.125,14360.11475,47.56250096,5.599999905
25,QDX,112.175125,26.63330111,18.38593745,7.771874905,25.32581186,833.0981445,33.74999952,3.062499941,30.68749929,22.71666646,9.808333397,28.3187499,7.837500036,1396,211.375,47.375,47.12489939,598.375,189.25,410,199.375,101,13580.4375,31.875,5.325000167
26,QLS,114.3243438,30.32863118,16.93333359,8.316666603,25.58974304,898.9401612,32.8199997,0.320000011,32.5,25.52999993,7.536666679,27.72999954,5.566666603,1296.2,214,31,54.9607956,569.4,129.8,504,133,84.4,13248.0834,34.91999932,6.119999886
27,QYS,118.6048062,24.9483313,19.61388842,6.405555487,29.11616103,594.4907227,30.36666679,8.366666635,22,21.54999956,17.91111056,26.611111,12.31111129,1207.166667,208.3333333,23.33333333,61.82896551,524.5,83.16666667,385.8333333,127.1666667,263.8333333,15262.13884,38.6166668,5.666666508
28,SDS,113.1275176,28.68221719,16.97187448,7.360416591,23.78172922,853.7458801,32.32499933,1.375000015,30.94999909,21.21041679,8.168750048,27.26041603,6.220833302,1389.375,212.125,45.375,48.9863224,603.25,179.125,433.125,188.125,147.75,13692.3335,39.57499981,5.900000095
29,SR,118.1174663,28.35458916,18.32500049,8.742857252,27.90740204,816.2520752,33.72857121,2.400000061,31.32857159,22.21666636,10.47857162,27.9857145,7.940476213,1722.571429,303,49.28571429,61.08963067,825.8571429,185.4285714,531.2857143,244.8571429,130.4285714,14657.619,18.30000005,5.357142993
30,TBS,107.7218815,34.10347296,10.18833313,8.219999886,26.27763634,850.5219116,25.63999977,-5.639999962,31.2800003,19.33333321,-0.60333333,20.52000008,-0.60333333,708.6,127.6,4.8,75.09369812,361.4,20,306,20,1099.6,14133.2,43.9199997,6.620000076
31,WF,111.2120149,30.10355948,14.46718716,7.882291734,26.19804335,808.9221344,29.16249991,-0.924999997,30.08749938,24.19791579,4.239583284,24.19791579,4.239583284,1275.125,191,25.125,57.20257521,542,91.375,542,91.375,669.375,13689.271,47.4000001,5.787500143
32,XCX,111.1075439,33.28173391,14.94999993,10.50833344,31.08954001,881.5176392,31.16249967,-2.637499988,33.79999924,24.40416646,3.791666597,25.69583273,3.791666597,837.75,155.5,10,68.20682621,395.75,37.25,364.75,37.25,609.75,13872.99988,40.3125,6.400000036
33,XES,111.907536,34.41767534,13.19047615,10.81190491,30.57932881,915.6596505,29.78571429,-5.571428503,35.35714395,22.77380943,1.380952392,24.20952361,1.380952392,649.4285714,139.7142857,6.857142857,76.94813102,340.7142857,24.85714286,310.4285714,24.85714286,598.2857143,14673.13086,29.17142841,7.228571415
34,XLZ,115.3690781,39.36835576,12.28499966,12.23333359,29.62066269,1109.891553,30.87999954,-10.42000008,41.29999924,25.10333328,-2.189999962,25.10333328,-2.189999962,533.2,186.6,3,136.8393555,408.2,10,408.2,10,126.6,15639.0166,14.52000008,7.800000191
35,XNX,111.1172345,26.72965837,17.15138849,7.452777545,25.05141004,816.4922892,32.09999847,2.350000024,29.74999905,21.40833378,8.752777735,26.86944453,6.824999809,1382.166667,222.3333333,44.16666667,50.48807589,613.1666667,181.6666667,428,182.8333333,300.5,13371.12468,34.10000038,5.800000191
36,XPX,119.9697947,26.8611853,18.63666687,7.053333378,26.90056076,710.0343506,31.75999985,5.539999962,26.2199997,21.07666702,12.10666657,27.10666657,9.906666564,1573.4,259,43.4,54.81534652,609.6,140,526.2,181,43.2,14553.45,32.02000008,5.800000095
37,XS,114.4257,29.09950788,16.91302085,8.965625286,27.62839484,864.7987366,33.08749962,0.637500003,32.44999981,21.23749948,7.900000036,27.25416684,6.018750012,1516.875,262.75,41.875,56.85807514,695.75,166.5,521.25,185.375,156.875,13792.22913,34.44999981,5.987500012
38,XXS,112.1427705,27.91156174,17.37142781,7.607142653,24.23761586,850.8156564,33.18571472,1.799999952,31.38571549,21.62142836,8.661904335,27.62380927,6.661904676,1389.571429,201.8571429,45,46.76995033,592.5714286,184.1428571,426.5714286,188.2857143,170.5714286,13615.67843,28.70000076,5.800000191
39,YJS,116.9761515,40.26590411,11.01666641,11.75,28.45036316,1124.686523,29.70000076,-11.60000038,41.30000305,24.04999924,-3.666666746,24.04999924,-3.666666746,516,188,3,137.5567627,394,10,394,10,96,15353.33301,30.29999924,7.300000191
40,YSX,110.795592,24.90798875,19.67083327,7.611110926,28.17230002,724.2430928,32.51666705,5.500000079,27.01666737,23.39166673,12.26666657,27.91666667,10.35277796,1665.833333,308.1666667,44.83333333,63.63916779,800.3333333,159.5,611.5,182.8333333,161.3333333,13896.98617,28.61666711,5.983333349
41,ZB,118.1301586,36.34670009,11.12812519,10.65625,28.5683074,1021.461121,28.30000019,-9,37.30000115,23.09999943,-2.170833349,23.09999943,-2.170833349,751.5,237.5,7,111.4071236,486.5,26,486.5,26,535.75,16139.375,31.17499972,6.875000119
42,ZMD,113.865998,32.90514013,15.0171876,9.678125143,28.57997179,914.5842514,30.94999981,-2.912500024,33.86250019,25.97708297,3.266666621,25.97708297,3.266666621,909.5,188.75,14,67.92897129,429.5,59.5,429.5,59.5,139.625,14414.927,26.11250019,6.937500059
43,ZS,122.098487,30.0837425,16.58842574,6.332407316,22.81670041,794.8786011,30.40000004,2.655555566,27.74444432,22.1111109,9.394444254,26.21481493,6.842592557,1206.333333,162.8888889,43.77777778,39.556029,404.1111111,160.7777778,399.1111111,167.3333333,24.22222222,14565.84266,45.03333325,6.099999958
44,ZWY ,108.8785616,34.03392718,11.89322913,9.134374976,27.47918725,890.978653,28.125,-5.112499893,33.23749972,21.35833311,0.556250014,22.74166656,0.556250014,648.125,113.375,6,69.27301216,309.5,23.375,267.5,23.375,742.25,14253.85401,34.04999924,6.937500119
